symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
SPY,2000-01-03 00:00:00+00:00,145.4375,148.25,143.875,148.25,8164300,98.0917174189,99.9886350312,97.037874301,99.9886350312,8164300,0.0,1.0
SPY,2000-01-04 00:00:00+00:00,139.75,144.0625,139.640594,143.531204,8089800,94.2557284696,97.1643354751,94.1819385431,96.8059977899,8089800,0.0,1.0
SPY,2000-01-05 00:00:00+00:00,140.0,141.531204,137.25,139.9375,12177900,94.4243433685,95.4570785989,92.5695794809,94.3821896437,12177900,0.0,1.0
SPY,2000-01-06 00:00:00+00:00,137.75,141.5,137.75,139.625,6227200,92.9068092786,95.4360327617,92.9068092786,94.1714210201,6227200,0.0,1.0
SPY,2000-01-07 00:00:00+00:00,145.75,145.75,140.0625,140.3125,8066500,98.3024860425,98.3024860425,94.4664970932,94.635111992,8066500,0.0,1.0
SPY,2000-01-10 00:00:00+00:00,146.25,146.906204,145.031204,146.25,5741700,98.6397158403,99.0822989247,97.8176871831,98.6397158403,5741700,0.0,1.0
SPY,2000-01-11 00:00:00+00:00,144.5,146.093704,143.5,145.8125,7503700,97.4594115482,98.5343005033,96.7849519527,98.3446397672,7503700,0.0,1.0
SPY,2000-01-12 00:00:00+00:00,143.0625,144.593704,142.875,144.593704,6907700,96.4898758796,97.5226111101,96.3634147055,97.5226111101,6907700,0.0,1.0
SPY,2000-01-13 00:00:00+00:00,145.0,145.75,143.281204,144.468704,5158300,97.7966413459,98.3024860425,96.637382891,97.4383036607,5158300,0.0,1.0
SPY,2000-01-14 00:00:00+00:00,146.968704,147.468704,145.968704,146.531204,7437300,99.1244526494,99.4616824471,98.4499930539,98.8293765763,7437300,0.0,1.0
SPY,2000-01-18 00:00:00+00:00,145.8125,146.625,145.1875,145.343704,6488500,98.3446397672,98.8926381886,97.9231025201,98.0284558067,6488500,0.0,1.0
SPY,2000-01-19 00:00:00+00:00,147.0,147.0,145.0,145.3125,6157900,99.1455605369,99.1455605369,97.7966413459,98.0074099695,6157900,0.0,1.0
SPY,2000-01-20 00:00:00+00:00,144.75,146.968704,143.8125,146.968704,5800100,97.628026447,99.1244526494,96.9957205763,99.1244526494,5800100,0.0,1.0
SPY,2000-01-21 00:00:00+00:00,144.4375,145.5,144.0625,145.5,6244800,97.4172578234,98.1338711436,97.1643354751,98.1338711436,6244800,0.0,1.0
SPY,2000-01-24 00:00:00+00:00,140.343704,145.843704,139.406204,145.656204,7896900,94.6561578293,98.3656856044,94.0238519585,98.2392244303,7896900,0.0,1.0
SPY,2000-01-25 00:00:00+00:00,141.9375,141.9375,139.0,140.515594,9942500,95.7311088347,95.7311088347,93.749883773,94.7720906891,9942500,0.0,1.0
SPY,2000-01-26 00:00:00+00:00,140.8125,141.546799,140.093704,141.0,5158100,94.9723417898,95.4675967963,94.4875429304,95.0988029639,5158100,0.0,1.0
SPY,2000-01-27 00:00:00+00:00,140.25,142.218704,138.125,141.843704,10922700,94.5929582673,95.9207695708,93.1597316269,95.6678472225,10922700,0.0,1.0
SPY,2000-01-28 00:00:00+00:00,135.875,140.0625,135.531204,139.4375,11916200,91.6421975371,94.4664970932,91.410321026,94.044959846,11916200,0.0,1.0
SPY,2000-01-31 00:00:00+00:00,139.5625,139.671799,135.0,135.8125,10768700,94.1292672954,94.2029850548,91.052045391,91.6000438123,10768700,0.0,1.0
SPY,2000-02-01 00:00:00+00:00,140.9375,141.6875,138.531204,139.75,8419900,95.0566492392,95.5624939358,93.4336998124,94.2557284696,8419900,0.0,1.0
SPY,2000-02-02 00:00:00+00:00,141.0625,142.25,140.375,141.281204,6205900,95.1409566887,95.9418774583,94.6772657168,95.2884637,6205900,0.0,1.0
SPY,2000-02-03 00:00:00+00:00,143.1875,143.25,140.0,140.875,7997500,96.5741833291,96.6163370538,94.4243433685,95.0144955145,7997500,0.0,1.0
SPY,2000-02-04 00:00:00+00:00,142.593704,144.0,142.125,143.1875,4925400,96.1736919191,97.1221817504,95.8575700089,96.5741833291,4925400,0.0,1.0
SPY,2000-02-07 00:00:00+00:00,142.375,142.781204,141.4375,142.5625,5845800,96.0261849077,96.3001530933,95.393879037,96.1526460819,5845800,0.0,1.0
SPY,2000-02-08 00:00:00+00:00,144.3125,144.5625,143.625,143.968704,4936400,97.332950374,97.5015652729,96.8692594021,97.1010738629,4936400,0.0,1.0
SPY,2000-02-09 00:00:00+00:00,141.281204,144.468704,141.265594,144.468704,8511500,95.2884637,97.4383036607,95.2779353857,97.4383036607,8511500,0.0,1.0
SPY,2000-02-10 00:00:00+00:00,141.5625,142.5625,140.875,141.625,6690600,95.4781864864,96.1526460819,95.0144955145,95.5203402111,6690600,0.0,1.0
SPY,2000-02-11 00:00:00+00:00,138.6875,141.9375,138.031204,141.843704,9849800,93.5391151494,95.7311088347,93.0964700147,95.6678472225,9849800,0.0,1.0
SPY,2000-02-14 00:00:00+00:00,139.5,139.781204,138.3125,139.781204,8528800,94.0871135707,94.2767743068,93.2861928011,94.2767743068,8528800,0.0,1.0
